Title,Artist,Year,Genre,BPM,Energy,Dance,Valence,Popularity,WIP,,Tags,Spotify ID
Give Me One Reason,Tracy Chapman,1999,Blues,100,42,61,60,73,WIP,,;alternative;dance;groovy;fast;love,4vDBJeeQCbhP9FaPPMsYkY
Good Riddance (Time Of Your Life),Green Day,1997,Rock,95,43,48,65,80,,,punk;pop punk;alternative;acoustic,6ORqU0bHbVCRjXm9AjyHyZ
Goodnight Goodbye,Eric Hutchinson,2014,Rock,118,63,68,60,21,WIP,,;acoustic;love;dance;groovy,0zzSZkEfZiZCAldZj8x128
Got You Under My Skin,Frank Sinatra,1956,Pop,127,37,59,63,53,WIP,,christmas;big band;adult standards;swing music;jazz;vocal jazz;jazz;love;groovy;dance;oldies;retro,74jklVKHYTmNMp0baGm6FB
Grayscale,Skye Zentz,2012,Folk,83,31,54,32,0,WIP,,;acoustic;alternative;love;sweet;folk;waltz,6HhRhNhizv18kTfHED0GNA
Great Balls Of Fire,Jerry Lee Lewis,1957,Rock 'n' roll,80,63,59,91,0,,,rockabilly;rock and roll;boogie-woogie;groovy;fast;dance;love;oldies;retro,7xe3EQCvXnx6Q0zs41Y65n
Green Eyes,Coldplay,2002,Alternative,130,41,61,23,67,,,;alternative;acoustic;love;slow,3ou9rSNUQnE7XYmJkUUIOc
Guitar Man,Bread,1972,Rock,143,51,55,51,67,,,soft rock;yacht rock;alternative;slow;love;retro;oldies,0gZXockVcE7rEhSf4mcGLO
Hallelujah,Jeff Buckley,1984,Rock,73,20,34,44,58,,,singer-songwriter;slow;love;acoustic;alternative;oldies;retro,5USZyz6dnBEn1oLsKcAKQy
Halo,Beyonce,2008,Pop,80,72,51,47,74,,,;groovy;alternative,4JehYebiI9JE8sR8MisGVb
Happy,Pharell Williams,2013,Pop,160,82,65,96,80,,,;dance;fast;love;groovy,60nZcImufyMA1MKQY3dcCH
Havana,Camila Cabello,2017,Dance,106,50,75,44,1,,,;,4ptonNXwbPtpiPX062ruaM
Have You Ever Seen The Rain,CCR,1971,Rock,116,47,74,89,67,,,classic rock;southern rock;country rock;oldies;retro;groovy;dance,5DnT9a5IM3eMjKgXTWVJvi
Heart Of Gold,Neil Young,1972,Rock,171,40,54,83,76,WIP,,classic rock;folk rock;singer-songwriter;roots rock;alternative;oldies;retro;slow;love,26QKxvjlCo2fSd3T4c8Zpb
Heaven,Bryan Adams,1985,Rock,140,59,38,33,82,,,;slow;dance;love,7Ewz6bJ97vUqk5HdkvguFQ
Hello,Lionel Richie,1983,Pop,61,25,49,6,57,,,motown;love;slow;oldies;retro,0mHyWYXmmCB9iQyK18m3FQ
Here Without You,3 Doors Down,2002,Rock,144,53,56,23,78,,,post-grunge;alternative;love,3NLrRZoMF0Lx6zTlYqeIo4
Hero,Enrique Iglesias,2001,Pop,75,62,46,16,9,,,latin pop;latin;,2dsMRyRc0ZQrICwHfmtCFb
Hey Jude,Beatles,1968,Rock,74,63,46,59,69,,,classic rock;psychedelic rock;retro;oldies;dance;groovy;love,1eT2CjXwFXNx6oY5ydvzKU
Hey Soul Sister,Train,2002,Rock,97,89,67,80,82,,,soft pop;dance;fast;groovy;love;sweet,4HlFJV71xXKIGcU3kRyttv
Hey There Delilah,Plain White T's,2004,Pop,104,29,66,30,79,,,;acoustic;love;sweet,4RCWB3V8V0dignt99LZ8vH
Hit The Road Jack,Ray Charles,1962,R'n'B,173,57,60,96,68,,,jazz blues;soul;soul blues;blues;classic soul;vocal jazz;dance;oldies;retro;jive,2HoqbEOXgbDSLZ5XCePEXt
Hold You In My Arms,Ray LaMontagne,2004,Folk,170,32,50,58,1,WIP,,;acoustic;alternative;love;slow;waltz,1U1GtaJeYwGsPgqV9Me5bb
Homeward Bound,Simon and Garfunkel,1966,Folk,93,38,49,53,63,WIP,,folk rock;folk;retro;oldies;groovy;love;acoustic;folk,4Xl2PrS3DJqqSKXCo6Uhv9
Hotel California,Eagles,1976,Rock,147,51,58,61,84,,,classic rock;yacht rock;soft rock;retro;oldies;groovy,40riOy7x9W7GXjyGp4pjAv
How Deep Is Your Love,Bee Gees,1977,Rock,105,36,63,67,79,,,disco;retro;oldies;groovy;love;dance,2JoZzpdeP2G6Csfdq5aLXP
Hymn For The Weekend,Coldplay,2015,Pop,90,69,49,41,83,,,;dance;alternative;groovy;love,3RiPr603aXAoi4GHyXx0uy
I Have A Dream,ABBA,1979,Pop,104,37,55,44,64,,,;slow;retro;oldies,1PtJclc46wTk367PlsU6Uj
I Saw Her Standing There,Beatles,1968,Rock,160,80,49,97,66,,,classic rock;psychedelic rock;dance;fast;love;groovy;retro;oldies,3KiexfmhxHvG5IgAElmTkd
I Wanna Hold Your Hand,Beatles,1963,Rock,131,72,49,87,64,,,classic rock;psychedelic rock;dance;fast;love;groovy;retro;oldies,4pbG9SUmWIvsROVLF0zF9s
I Will Follow You Into The Dark,Death Cab for Cutie,2006,Rock,80,21,52,49,62,WIP,,;acoustic;love;alternative,3kZC0ZmFWrEHdUCmUqlvgZ
I Will Survive,Gloria Gaynor,1978,Disco,117,78,77,80,74,,,disco;retro;oldies;dance;groovy;love,7rIovIsXE6kMn629b7kDig
I Won't Give Up,Jason Mraz,2012,Pop,133,30,48,14,70,,,soft pop;acoustic pop;slow;love;dance;waltz,53QF56cjZA9RTuuMZDrSA6
I'd Love To Change The World,Ten Years After,1971,Rock,118,48,38,39,29,WIP,,blues rock;psychedelic rock;alternative;fast;oldies;retro,60fbDTkIN8GvN33VscBGqx
If,Bread,1971,Folk Rock,98,18,39,34,69,,,soft rock;yacht rock;love;slow;oldies;retro;sweet,40W8Mm9t3ZO1iNQlls35lL
If I Ain't Got You,Alicia Keys,2003,RnB,118,44,61,17,82,,,r&b;neo soul;jazz;slow;love;waltz,3XVBdLihbNbxUwZosxcGuJ
If I Had A Hammer,Peter Paul and Mary,1962,Folk,90,39,47,51,12,WIP,,folk;folk rock;fast;dance;groovy;retro;oldies;folk,4AaCr2lbXtxJQRpSpObAqe
I'll Be There For You (Friends theme),Rembrandts,1995,Rock,191,71,29,75,0,,,;dance;fast;love;groovy,5FC0XyIOkvY1h5bo9t44TL
I'll Have To Say I Love You In A Song,Jim Croce,1973,Folk,134,45,54,71,0,,,folk rock;singer-songwriter;acoustic;love;slow;groovy;oldies;retro;sweet;folk,4t8tx6o7oM6Ax66ZUU361y
I'm A Believer,Monkees,1967,Pop,79,77,50,94,57,,,;oldies;retro;fast;dance;groovy;love,1CSLeVCXmetBh8IkTPMFdL
I'm Yours,Jason Mraz,2008,Rock,151,44,70,71,77,,,soft pop;acoustic pop;love;groovy;dance,1EzrEOXmMH3G43AXT1y7pA
In My Life,Beatles,1965,Rock,103,44,69,44,76,,,classic rock;psychedelic rock;love;dance;groovy,3KfbEIOC7YIv90FIfNSZpo
In The Summertime,Mungo Jerry,1970,Skiffle,164,65,64,97,2,WIP,,;alternative;dance;groovy;oldies;retro,3RNyGLgSvmVRZ7xKUp8Wgd
Instant Crush,Daft Punk,2013,Disco,110,59,78,52,77,WIP,,french house;electronic;electro;alternative;dance;love,2cGxRwrMyEAp8dEbuZaVv6
Iris,Goo Goo Dolls,1998,Rock,156,72,32,50,92,,,;,6Qyc6fS4DsZjB2mRW9DsQs
It's the End of the World As We Know It,R.E.M.,1987,Rock,206,89,38,80,67,WIP,,jangle pop;alternative rock;rock;dance;fast;groovy,2oSpQ7QtIKTNFfA08Cy0ku
Jailhouse Rock,Elvis Presley,1957,Rock 'n' roll,167,66,66,88,36,WIP,,rockabilly;rock and roll;oldies;retro;dance;fast;groovy,4MO4IrAvsZu1aSlAVnYxWb
Jar Of Hearts,Christina Perri,2011,Pop,75,35,35,9,73,WIP,,soft pop;alternative;slow;love,0HZhYMZOcUzZKSFwPOti6m
Johnny B Goode,Chuck Berry,1958,Rock 'n' roll,168,80,53,97,74,,,rockabilly;rock and roll;dance;fast;oldies;retro;groovy,2QfiRTz5Yc8DdShCxG1tB2
Jolene,Dolly Parton,1973,Pop,111,54,67,81,71,,,country;classic country;dance;fast;retro;oldies;alternative;acoustic,2SpEHTbUuebeLkgs9QB7Ue
Just Give Me A Reason,Pink (ft. Nate Ruess),2013,Pop,95,55,78,44,83,,,;dance;love;groovy,1mKXFLRA179hdOWQBwUk9e
Just The Two Of Us,Bill Withers,1980,Jazz,96,32,71,50,41,,,french jazz;vocal jazz;jazz;brazilian jazz;jazz;oldies;retro;love,5Sg1MgUVDNaPoWsKzbjUNi
Just The Way You Are,Bruno Mars,2010,Pop,109,84,64,42,84,,,;dance;fast;love;groovy,7BqBn9nzAq8spo5e7cZ0dJ
Killing Me Softly,Lori Lieberman,1972,Folk,100,2,51,26,32,,,;love;slow;oldies;retro,6GHtyusLtbFDJuFZ8j9Yju
King Of The Road,Roger Miller,1965,Country,118,27,67,61,61,WIP,,classic country;oldies;retro;groovy,3XG7bMVcMWLIn2k9jLAaAt
Kiss Me,Sixpence None The Richer,2002,Rock,100,75,53,42,84,,,;dance;groovy;love;acoustic;alternative;sweet,754kgU5rWscRTfvlsuEwFp
La Isla Bonita,Madonna,1987,Pop,100,82,72,96,74,,,;dance;fast;love;groovy,6r8k1vznHrzlEKYxL4dZEe
La Vie En Rose,Louis Armstrong,1950,Jazz,71,7,58,31,45,,,jazz;swing music;big band;vocal jazz;jazz blues;slow;love;dance;jazz;oldies;retro;acoustic;waltz;sweet,1GJCQMFysvt2S9WXSBaWYP
Layla,Eric Clapton,1971,Rock,116,68,49,54,37,,,blues;blues rock;classic rock;acoustic;alternative;love;groovy;oldies;retro,0e4os6wHr1jbFn4yPtSEOe
Leaving On A Jet Plane,John Denver,1966,Folk,133,28,49,47,48,,,folk;slow;oldies;retro;love;acoustic,0hS2EF1YErlHBS5c97iGxi
Lemon Tree,Fool's Garden,1995,Pop,143,48,66,64,2,,,;alternative;acoustic,4fXGWiVhlOLdhwRDP6pIFG
Let Her Go,Passenger,2012,Rock,75,55,48,24,73,,,folk pop;alternative;acoustic;love;groovy,1KxwZYyzWNyZSRyErj2ojT
Levitating,Dua Lipa,2020,Pop,103,88,70,91,80,,,pop;,39LLxExYz6ewLAcYrzQQyP
Like I'm Gonna Lose You,Meghan Trainor,2015,Soul,108,53,63,42,73,,,soft pop;neo soul;love;slow;groovy;waltz,2YlZnw2ikdb837oKMKjBkW
Lipstick On Your Collar,Connie Francis,1959,Rock 'n' roll,165,93,53,93,39,WIP,,schlager;dance;oldies;retro;groovy,1tY8PhIOqDTx1GHDEhSuxh
Living Doll,Cliff Richard and The Shadows,1959,Rock 'n' roll,63,48,60,77,41,,,;dance;oldies;retro;groovy;sweet;love,2OqzR7I7GF19T2qPrbmYQC
Lonely,Imagine Dragons,2021,Alternative,98,73,71,87,65,WIP,,;,1VMBapbhHidf6ALFszT7w1
Lonely Stranger,Eric Clapton,1992,Rock,75,47,74,59,0,WIP,,blues;blues rock;classic rock;alternative;groovy,5nZax8mmBCb4UYnW6ibvTb
Long Goodbyes,Kurt Hunter,2009,Jazz,100,42,69,64,1,WIP,,;love;slow;groovy;alternative,2BH2OuQBy2NSPf6rzfzold
Long Train Running,Doobie Brothers,1973,Rock,117,91,58,84,76,WIP,,yacht rock;classic rock;soft rock;southern rock;dance;fast;groovy;love;oldies;retro,4nXkbcTj3nyww1cHkw5RAP
Losing My Religion,R.E.M.,1991,Rock,126,86,67,80,85,,,jangle pop;alternative rock;rock;alternative;groovy,31AOj9sFz2gM0O3hMARRBx
Lost On You,LP,2015,Rock,174,72,43,69,3,WIP,,;alternative;groovy;slow;love,2LIh4uzqq9cXMPzzmcToHl
Love Story,Taylor Swift,2008,Pop,119,74,62,30,66,,,;love;dance;acoustic,1vrd6UOGamcKNGnSHJQlSt
Love You Like A Love Song,Selena Gomez,2011,Pop,117,68,86,92,81,,,;love;dance;fast,0laYHRpNTS6i8FXdupHkJ4
Love Yourself,Justin Bieber,2015,Pop,100,38,61,52,84,,,;acoustic;alternative,50kpGaPAhYJ3sGmk6vplg0
Lover Of The Light,Mumford and Sons,2012,Folk,106,69,31,38,0,WIP,,folk;indie folk;folk rock;alternative;acoustic;folk,6NUr2TMn5nsaerT4tuHpFb
Lucky,Jason Mraz,2009,Pop,130,41,63,67,68,,,soft pop;acoustic pop;alternative;love;acoustic;groovy;sweet,0IktbUcnAGrvD03AWnz3Q8
Lucky Lips,Cliff Richard,1957,RnB,145,48,69,90,36,WIP,,;oldies;retro;love;dance;fast;groovy;sweet,4xHXqIwdjXRYJvwT8HNByt
Make You Feel My Love,Adele,1997,Rock,65,17,32,10,70,,,soft pop;slow;love;acoustic;alternative;oldies;retro,5FgPwJ7Nh2FVmIXviKl2VF
Mamma Mia,ABBA,1975,Pop,138,75,75,83,78,,,;oldies;retro;dance;jive;groovy,2TxCwUlqaOH3TIyJqGgR91
Maria Maria,Santana,1999,Rock,98,60,78,68,71,WIP,,;groovy;dance;love,567UAkWoLBqZ709s3Qcbze
Mary Jane's Last Dance,Tom Petty and The Heartbreakers,1993,Rock,170,65,46,53,76,,,classic rock;groovy;dance;slow,3dmqIB2Qxe2XZobw9gXxJ6
Mi Chico Latino,Geri Halliwell,1999,Dance,102,91,63,68,43,WIP,,;groovy;dance;fast;love,3Qu88IYwuDpUQNi6UwJsDz
Michelle,Beatles,1965,Pop,117,29,58,67,66,,,classic rock;psychedelic rock;love;groovy;oldies;retro;acoustic,5By7Pzgl6TMuVJG168VWzS
Money Money Money,ABBA,1976,Pop,121,70,79,65,69,,,;oldies;retro;dance;jive;fast,3lKN03PDeBnXZS7sDukRBt
Moon River,Various,1961,Easy Listening,86,3,38,17,59,WIP,,;love;slow;oldies;retro;waltz,1XwAKjAZ1xDZOcuyZoqce4
More Than A Friend,Michael Learns To Rock,2000,Pop,93,67,73,84,22,WIP,,;groovy;dance;love;acoustic,3g815ZTHx784EBVvzpiHfv
More Than I Can Say,Leo Sayer,1980,Pop,96,54,72,68,55,,,soft rock;yacht rock;love;groovy;dance;oldies;retro,72AP0jERH6lLf6vd32WcDJ
More Than Words,Extreme,1991,Rock,92,13,63,24,76,,,glam metal;love;slow;groovy;acoustic,1gVgkQFOKa8Wc1HYsJtPdH
Moves Like Jagger,Maroon 5,2010,Pop,128,76,72,62,74,,,pop;,7LcfRTgAVTs5pQGEQgUEzN
Mr Blue Sky,Electric Light Orchestra,1977,Rock,178,34,39,48,79,,,art rock;groovy;oldies;retro,2RlgNHKcydI9sayD2Df2xp
Mr Brightside,Killers,2003,Rock,148,91,35,24,87,,,alternative rock;dance;fast;groovy;love,003vvx7Niy0yvhvHt4a68B
My Love,Westlife,2000,Pop,144,59,49,33,72,WIP,,;love;slow;dance,5p0ietGkLNEqx1Z7ijkw5g
Never Going Back Again,Fleetwood Mac,1977,Folk Rock,176,34,65,95,71,WIP,,classic rock;yacht rock;soft rock;alternative;acoustic;oldies;retro;love;folk,19Shlms2uTnOjIUg50TXzd
New Light,John Mayer,2011,Rock,124,69,83,85,76,,,singer-songwriter;dance;fast;love;acoustic,4T6FWA703h6H7zk1FoSARw
New Shoes,Paolo Nutini,2006,Pop,150,74,75,85,65,WIP,,;dance;fast;love,265Anh9hGoozFigjUVLUeD
Nights In White Satin,Moody Blues,1967,Rock,157,34,19,22,57,WIP,,progressive rock;art rock;blues;psychedelic rock;baroque pop;slow;oldies;retro;love;acoustic;waltz,5w1ingzqrsJka9nlnEFB64
Norwegian Wood,Beatles,1965,Folk Rock,177,37,43,65,68,,,classic rock;psychedelic rock;oldies;retro;acoustic;love;groovy;folk;waltz,1H7gMYGykdtwZOV6s1N0by
Numb,Linkin Park,2003,Metal,110,87,49,21,87,,,nu metal;rap metal;rock;alternative metal;alternative;acoustic;groovy,2nLtzopw4rPReszdYBJU6h
Objection,Shakira,2002,Pop,179,86,60,71,53,WIP,,latin pop;dance;fast;love;groovy,36YNa8joLwu9yor2TkZbIY
Oh Carol,Neil Sedaka,1995,Rock,135,73,73,97,59,,,doo-wop;adult standards;dance;groovy;love;sweet,5zvOXJrzzUlvXwyuwZ0toZ
Old Yellow Bricks,Arctic Monkeys,2007,Rock,135,84,66,75,58,WIP,,indie;garage rock;alternative;dance;fast,3BcQFPRZuuUClWStz29WjN
One,U2,1991,Pop,181,53,39,33,75,WIP,,rock;,3G69vJMWsX6ZohTykad2AU
One Love,Blue,2002,Pop,95,72,68,85,65,,,;groovy;dance;acoustic;alternative,2W5acFzXf5FrktecuD30Or
One Of Us,Joan Osborne,1995,Pop,175,50,32,40,68,WIP,,;alternative,1xNmF1Uep5OGutizZSbKvd
Only Love Can Hurt Like This,Paloma Faith,2014,Pop,91,89,57,30,79,WIP,,;groovy;dance;love,62ke5zFUJN6RvtXZgVH0F8
Open Book,Mikey McCleary,2015,Pop,78,36,56,45,9,WIP,,;alternative;acoustic,0B0kgEDcAmf4MDEEYStnpW
Operator,Jim Croce,1972,Folk,130,45,69,83,0,WIP,,folk rock;singer-songwriter;oldies;retro;acoustic;love;groovy;folk,3NJzkMApQqAudLSgYb5Bz2
Paper Roses,Anita Bryant,1960,Pop,117,12,35,32,34,WIP,,adult standards;oldies;retro;love;sweet,0CdsYCCygXgNYk7l1ULMht
Paradise,Coldplay,2011,Rock,140,59,45,21,84,,,;alternative;love;acoustic;dance,6nek1Nin9q48AVZcWs9e9D
Part-Time Lover,Stevie Wonder,1985,RnB,175,62,66,96,71,,,motown;classic soul;soul;dance;jive,0Dm43YLUlGdePpSbI1ct8h
Perfect,Ed Sheeran,2017,Pop,95,45,60,17,88,,,soft pop;alternative;acoustic;love;slow,0tgVpDi06FyKpA1z0VMD4v
Photographs And Memories,Jim Croce,1972,Rock,123,23,58,49,0,,,folk rock;singer-songwriter;alternative;acoustic;oldies;retro;love,25P9qtKtJUQXcWjM4zQfA5
Piano Man,Billy Joel,1973,Pop,178,55,33,43,82,WIP,,soft rock;oldies;retro;acoustic;groovy;waltz,70C4NyhjD5OZUMzvWZ3njJ
Poetry In Motion,Johnny Tillotson,1960,Doo-wop,135,71,49,91,0,WIP,,doo-wop;oldies;retro;love;acoustic;groovy;sweet,6c9Zgl3NolMeAPJnW779eM
Pretty Woman,Roy Orbison,1964,Rock,127,58,61,95,66,,,rockabilly;dance;fast;groovy;retro;oldies;love,52HAHV1j93s5B8GoTNI7DJ
Pretty World,Sergio Mendes,1969,Jazz,122,38,62,89,20,,,bossa nova;brazilian jazz;latin jazz;jazz;dance;oldies;retro;love,264Iu7TFoRzdFpGcmFc884
Price Tag,Jessie J,2011,Pop,175,83,64,68,64,,,;dance;groovy;love,5mvKuE9Lf9ARVXVXA32kK9
